"","Koa root","Olapa root","Grass root","Ohia root","Kolea root","Akala root","Soil"
"ASV1248",0,1,0,0,1,1,0
"ASV125",0,0,0,1,0,0,1
"ASV1250",1,1,1,1,1,1,1
"ASV1251",0,0,0,0,0,0,1
"ASV1252",1,1,1,1,1,1,0
"ASV1253",0,0,1,0,0,0,0
"ASV1255",0,0,0,0,0,1,0
"ASV1256",1,1,1,1,1,1,1
"ASV1257",1,1,0,0,0,0,1
"ASV1258",0,0,0,0,0,0,1
"ASV1259",1,1,1,1,1,1,1
"ASV1260",0,1,1,0,0,1,0
"ASV1261",1,0,1,0,0,1,0
"ASV1262",0,0,0,0,0,0,1
"ASV1263",0,1,1,0,0,1,1
"ASV1264",1,1,0,1,0,0,0
"ASV1265",1,0,1,1,1,1,1
"ASV1266",0,0,1,0,1,1,0
"ASV1267",0,1,0,0,0,0,0
"ASV1268",1,1,1,1,1,1,1
"ASV1269",1,1,1,1,1,0,1
"ASV1270",0,0,0,0,0,1,0
"ASV1271",1,1,1,1,1,1,1
"ASV1272",1,1,1,1,1,1,1
"ASV1273",1,0,1,0,0,0,1
"ASV1274",1,0,0,0,0,0,0
"ASV1275",0,0,1,0,0,0,0
"ASV1276",0,0,0,1,0,0,0
"ASV1277",0,0,0,0,0,0,1
"ASV1278",0,0,0,0,0,0,1
"ASV128",0,0,0,0,1,0,0
"ASV1280",0,0,0,0,1,0,1
"ASV1282",0,0,0,0,1,0,0
"ASV1284",0,0,0,0,1,0,0
"ASV1288",0,0,0,1,0,0,0
"ASV1291",0,0,0,0,0,0,1
"ASV1292",0,0,0,0,1,0,0
"ASV1294",0,0,0,0,0,1,0
"ASV1295",0,0,0,0,0,1,0
"ASV1299",1,0,0,0,0,0,0
"ASV130",0,0,0,0,0,0,1
"ASV1303",0,1,1,1,1,0,1
"ASV1307",0,1,0,0,0,0,0
"ASV1308",0,1,0,0,0,0,0
"ASV1313",1,1,0,1,1,1,1
"ASV1320",0,0,0,0,0,1,0
"ASV1322",0,0,0,0,1,1,1
"ASV1324",0,1,0,0,1,0,1
"ASV1328",0,1,0,0,0,0,1
"ASV1329",1,0,1,1,1,1,1
"ASV1330",0,0,1,0,0,0,1
"ASV1331",0,1,0,0,0,0,0
"ASV1332",0,0,0,1,0,0,0
"ASV1336",1,0,1,0,0,0,1
"ASV1339",0,0,0,0,0,0,1
"ASV1341",0,1,0,0,0,0,0
"ASV1343",0,0,0,1,0,0,0
"ASV1345",0,0,0,0,1,0,0
"ASV1346",0,0,1,0,0,0,0
"ASV1347",0,0,1,0,0,0,0
"ASV1348",0,0,0,0,0,0,1
"ASV1349",0,0,0,0,0,0,1
"ASV1350",0,0,0,0,0,0,1
"ASV1351",1,0,1,0,0,1,1
"ASV1352",0,0,0,0,0,1,1
"ASV1353",0,0,0,0,0,0,1
"ASV1355",0,0,0,0,1,0,0
"ASV1356",0,0,0,0,0,1,1
"ASV136",1,0,1,0,0,0,1
"ASV1364",0,0,0,0,0,1,0
"ASV1366",0,0,0,0,0,0,1
"ASV1367",0,0,0,0,0,1,1
"ASV137",1,0,0,1,1,1,1
"ASV1371",0,0,0,0,0,1,1
"ASV1373",0,0,0,1,0,0,0
"ASV1374",0,0,0,0,0,0,1
"ASV1375",0,0,0,0,0,0,1
"ASV1376",0,0,0,0,1,0,0
"ASV1378",0,0,0,1,0,0,0
"ASV1379",0,1,0,0,0,0,0
"ASV138",0,0,0,0,1,0,0
"ASV1380",0,0,0,0,1,0,0
"ASV1381",0,0,0,0,0,1,0
"ASV1383",0,0,0,0,1,0,0
"ASV1385",0,1,0,0,0,0,0
"ASV1387",0,1,0,0,0,0,0
"ASV1394",0,0,0,0,0,0,1
"ASV1396",0,0,1,0,0,0,1
"ASV1399",0,0,0,0,0,0,1
"ASV14",0,0,1,0,1,1,0
"ASV140",0,0,0,0,0,0,1
"ASV1400",1,1,1,1,1,1,1
"ASV1401",0,0,0,0,0,0,1
"ASV1405",0,1,0,0,0,0,0
"ASV1407",0,0,0,0,1,0,0
"ASV1409",0,0,0,0,0,0,1
"ASV1410",0,0,0,1,0,0,0
"ASV1413",1,0,0,0,0,0,0
"ASV1418",1,0,0,0,0,0,0
"ASV1419",0,0,0,0,1,0,0
"ASV1422",0,0,0,0,0,0,1
"ASV1424",0,1,0,0,0,0,0
"ASV1428",1,1,1,1,1,1,1
"ASV1429",0,0,0,0,0,0,1
"ASV143",1,1,1,1,0,1,1
"ASV1431",0,0,0,0,1,0,0
"ASV1432",0,0,0,0,0,1,0
"ASV1433",0,0,0,0,1,0,0
"ASV1434",0,0,0,0,1,0,0
"ASV1445",0,0,0,0,1,0,0
"ASV1448",0,1,0,0,0,0,0
"ASV1449",0,0,0,0,1,0,0
"ASV1450",0,0,0,0,1,1,0
"ASV1453",0,0,0,0,1,0,0
"ASV1454",0,0,0,0,0,1,0
"ASV1455",0,0,0,0,1,0,0
"ASV1456",0,0,0,0,0,1,0
"ASV1458",0,0,0,0,1,0,0
"ASV1460",1,1,1,1,1,1,1
"ASV1461",0,0,0,1,1,1,0
"ASV1462",1,0,1,1,1,1,0
"ASV1464",0,0,0,0,1,0,0
"ASV1465",0,0,0,0,1,0,0
"ASV1466",0,0,0,0,0,1,0
"ASV1467",0,0,0,1,0,0,0
"ASV1468",1,1,1,1,1,1,1
"ASV147",0,0,1,0,0,0,1
"ASV1475",1,1,1,1,0,1,1
"ASV1476",1,1,1,1,1,1,1
"ASV1478",0,0,0,0,1,0,0
"ASV1479",0,1,0,0,0,0,0
"ASV148",0,0,1,0,0,0,1
"ASV1480",0,0,0,0,0,1,0
"ASV1481",1,1,1,1,0,1,1
"ASV1483",1,1,1,1,0,1,1
"ASV1484",1,1,1,1,0,1,1
"ASV1485",0,0,1,0,0,0,0
"ASV1489",0,0,0,0,0,0,1
"ASV149",0,1,0,0,0,0,0
"ASV1490",0,0,0,0,0,1,0
"ASV1491",1,1,1,1,0,1,1
"ASV1492",1,1,1,1,0,1,1
"ASV1493",0,0,0,0,0,1,0
"ASV1494",1,1,1,1,0,1,1
"ASV1495",0,0,0,0,1,0,0
"ASV1496",0,0,0,0,1,0,0
"ASV1497",0,0,1,0,0,0,0
"ASV1498",0,0,0,1,0,0,0
"ASV150",0,0,0,1,0,0,0
"ASV1501",1,0,1,1,0,1,0
"ASV1502",1,0,1,0,0,0,0
"ASV1503",1,1,1,1,0,0,0
"ASV1504",0,0,1,0,0,0,0
"ASV1506",1,1,1,1,0,1,0
"ASV1507",0,0,0,0,1,0,0
"ASV1508",1,0,1,1,0,0,0
"ASV1511",1,0,0,0,0,0,0
"ASV1514",1,1,1,1,1,1,1
"ASV1518",0,0,1,0,0,0,0
"ASV1520",0,0,0,1,0,0,0
"ASV1521",1,1,1,1,0,1,0
"ASV1522",0,0,0,0,1,0,0
"ASV1523",0,0,0,0,1,0,0
"ASV1524",0,0,0,0,1,0,0
"ASV153",0,1,0,0,0,0,0
"ASV1530",0,0,0,0,1,0,0
"ASV1532",0,1,0,0,0,0,0
"ASV1533",0,0,0,0,0,0,1
"ASV1534",1,1,1,1,1,1,1
"ASV1535",1,1,1,1,0,0,0
"ASV1536",1,1,1,0,0,0,0
"ASV1537",0,0,0,0,1,0,0
"ASV1538",0,0,0,1,0,0,0
"ASV1539",1,1,1,1,1,1,1
"ASV1540",0,0,0,0,1,0,0
"ASV1542",1,1,1,1,1,1,1
"ASV1547",0,1,0,0,0,0,0
"ASV155",0,0,0,0,0,0,1
"ASV1550",1,1,1,1,1,1,1
"ASV1551",0,0,1,0,1,1,1
"ASV1552",0,0,0,0,0,0,1
"ASV1556",0,0,0,0,0,1,0
"ASV1559",0,0,0,0,1,0,0
"ASV156",1,0,0,0,0,0,1
"ASV1561",0,1,1,1,1,1,1
"ASV1562",0,0,0,0,1,0,0
"ASV1566",0,0,1,0,1,1,1
"ASV1568",0,0,0,0,1,0,0
"ASV1570",0,0,0,0,0,1,0
"ASV1571",1,1,1,1,1,1,1
"ASV1580",0,0,1,0,0,0,0
"ASV1591",0,0,0,0,1,0,0
"ASV1594",0,0,1,0,0,0,0
"ASV1596",1,0,0,0,0,0,0
"ASV16",0,0,0,0,0,1,0
"ASV1602",1,0,0,0,0,0,0
"ASV1605",0,1,0,0,0,0,0
"ASV1608",0,0,0,0,1,0,0
"ASV1609",0,0,0,0,1,0,0
"ASV1611",1,0,0,0,0,0,0
"ASV1612",0,0,0,0,0,0,1
"ASV1613",1,0,0,0,0,0,0
"ASV1618",0,0,0,0,0,0,1
"ASV1621",0,1,0,0,0,0,0
"ASV1623",0,1,0,0,0,0,0
"ASV1628",0,0,0,0,0,0,1
"ASV1629",0,0,0,0,0,0,1
"ASV1630",0,0,0,0,1,0,0
"ASV1633",1,0,0,0,0,0,0
"ASV1634",0,0,0,0,0,0,1
"ASV1648",0,0,0,0,1,0,0
"ASV1650",0,0,1,0,0,0,0
"ASV1652",0,0,0,1,0,0,0
"ASV1661",0,0,0,1,0,0,0
"ASV1666",0,0,0,0,0,0,1
"ASV167",0,0,0,0,0,0,1
"ASV1670",0,0,0,0,1,0,0
"ASV1671",0,0,1,0,0,0,0
"ASV1672",0,0,0,0,1,0,0
"ASV168",0,0,0,1,0,0,0
"ASV1680",1,0,0,0,0,0,0
"ASV1683",1,0,0,0,0,0,0
"ASV1685",0,0,0,0,1,0,0
"ASV1686",0,0,0,0,0,0,1
"ASV1688",1,1,1,1,1,1,1
"ASV1689",1,1,1,1,1,1,1
"ASV169",0,0,0,0,0,0,1
"ASV1690",1,0,0,0,0,0,0
"ASV1691",1,1,1,1,1,1,1
"ASV1692",0,0,0,0,0,1,0
"ASV1699",0,0,1,0,1,1,1
"ASV17",0,0,0,0,0,1,0
"ASV1700",1,1,1,1,1,1,1
"ASV1701",0,1,0,0,0,0,0
"ASV1702",0,0,0,0,1,0,0
"ASV1709",0,0,1,0,0,1,1
"ASV1712",0,0,1,1,1,0,1
"ASV1717",0,1,1,1,0,1,1
"ASV1719",1,0,1,0,1,1,1
"ASV1723",0,0,0,0,0,1,0
"ASV1724",0,0,1,0,0,0,0
"ASV1726",0,0,0,0,0,0,1
"ASV1727",0,0,0,0,0,0,1
"ASV1729",0,0,0,0,1,0,0
"ASV1731",0,0,0,0,0,0,1
"ASV1732",0,0,0,0,0,1,0
"ASV1739",0,0,0,0,1,0,0
"ASV174",0,0,0,0,1,0,0
"ASV1742",0,1,1,0,0,1,1
"ASV1748",0,0,0,0,0,0,1
"ASV175",0,0,1,0,0,0,1
"ASV1753",0,0,0,0,0,0,1
"ASV1754",0,0,0,0,1,0,0
"ASV1755",0,0,0,0,0,1,0
"ASV1758",0,0,0,0,0,0,1
"ASV176",1,0,0,0,0,0,0
"ASV1760",0,0,0,0,0,0,1
"ASV1763",0,0,0,0,1,0,0
"ASV1764",0,0,1,0,0,0,0
"ASV1766",0,0,0,0,0,0,1
"ASV1769",0,0,0,0,0,0,1
"ASV177",0,0,0,0,0,0,1
"ASV1771",1,0,0,0,0,0,0
"ASV1772",0,0,0,0,0,0,1
"ASV1774",0,0,1,0,0,0,1
"ASV1775",0,0,0,0,0,0,1
"ASV1776",0,0,1,0,0,0,0
"ASV1777",1,1,1,0,0,1,1
"ASV1779",0,0,0,0,0,0,1
"ASV178",0,0,0,0,0,0,1
"ASV1780",0,1,0,0,0,0,1
"ASV1781",0,0,0,0,0,0,1
"ASV1782",0,0,0,0,0,0,1
"ASV1787",0,0,0,0,0,0,1
"ASV1789",0,0,0,0,0,0,1
"ASV1792",0,0,0,0,0,0,1
"ASV1795",0,0,1,0,0,0,1
"ASV1798",0,0,0,0,0,0,1
"ASV180",0,0,0,0,0,0,1
"ASV1802",0,0,0,0,0,0,1
"ASV1803",0,0,0,0,0,0,1
"ASV1804",0,0,1,0,0,0,0
"ASV1806",0,0,0,1,1,0,1
"ASV1807",0,0,0,0,0,0,1
"ASV1808",0,0,0,0,1,0,0
"ASV1809",0,0,0,0,1,0,0
"ASV1810",0,0,0,0,0,0,1
"ASV1813",0,0,0,1,0,0,0
"ASV1814",0,0,0,0,1,0,0
"ASV1815",1,1,1,1,1,1,1
"ASV1818",1,0,0,0,0,0,1
"ASV1819",0,0,0,0,0,0,1
"ASV1820",0,0,0,0,0,1,0
"ASV1821",0,0,0,0,0,0,1
"ASV1822",0,1,0,0,0,0,1
"ASV1823",1,1,0,1,1,1,1
"ASV1825",0,0,0,0,0,0,1
"ASV1826",0,0,0,0,0,0,1
"ASV1827",0,0,0,0,0,1,0
"ASV1828",1,1,0,0,0,0,1
"ASV1829",0,0,0,0,0,0,1
"ASV1832",0,0,1,0,0,0,0
"ASV1833",0,0,0,0,0,0,1
"ASV1834",0,0,1,0,0,0,1
"ASV1836",0,0,1,0,0,0,1
"ASV1837",0,0,1,0,0,0,1
"ASV1838",0,0,0,0,1,0,0
"ASV1839",0,0,1,0,0,0,0
"ASV1840",0,0,1,0,0,0,0
"ASV1841",0,0,0,0,0,0,1
"ASV1842",0,0,0,0,0,0,1
"ASV1845",0,0,1,0,1,0,1
"ASV1847",0,0,0,1,0,0,1
"ASV1848",1,0,1,1,0,1,1
"ASV1849",0,0,0,0,0,0,1
"ASV185",0,0,0,0,0,1,0
"ASV1850",1,0,0,1,0,1,1
"ASV1851",0,0,0,0,0,0,1
"ASV1852",0,0,1,0,0,0,0
"ASV1853",0,0,0,1,0,0,0
"ASV1854",1,1,0,1,1,0,1
"ASV1855",0,0,0,1,1,0,0
"ASV1856",0,1,0,0,1,0,1
"ASV1857",0,0,0,0,0,0,1
"ASV1858",0,0,0,0,0,0,1
"ASV1860",0,0,0,0,0,0,1
"ASV1863",1,0,0,1,0,0,1
"ASV1864",0,0,1,0,0,0,1
"ASV1865",0,0,0,0,0,0,1
"ASV1867",0,0,0,0,1,0,0
"ASV1870",0,0,0,1,1,1,1
"ASV1871",1,1,1,1,1,1,1
"ASV1875",0,1,0,0,0,1,1
"ASV1876",0,0,0,1,0,1,1
"ASV1877",0,0,0,0,0,1,1
"ASV1880",0,0,0,0,0,1,1
"ASV1881",0,0,0,0,0,0,1
"ASV1882",0,0,0,0,0,1,0
"ASV1885",0,0,0,0,0,1,0
"ASV1886",0,0,0,0,1,0,0
"ASV1887",0,0,0,0,1,0,0
"ASV1888",0,0,0,0,0,1,0
"ASV1895",0,0,0,0,0,1,1
"ASV1896",0,0,0,0,0,0,1
"ASV1897",0,1,0,0,0,0,0
"ASV1898",0,0,0,0,0,0,1
"ASV1899",0,0,0,0,1,0,1
"ASV190",0,0,1,1,0,0,1
"ASV1901",0,1,1,0,0,1,1
"ASV1902",1,0,1,1,0,1,1
"ASV1903",1,0,1,0,0,0,1
"ASV1904",0,0,1,0,0,1,1
"ASV1905",1,0,1,0,0,1,1
"ASV1906",0,0,0,0,0,0,1
"ASV1908",1,0,1,0,0,1,1
"ASV1909",0,0,0,0,0,0,1
"ASV191",0,0,0,0,0,0,1
"ASV1910",0,0,1,0,0,0,1
"ASV1911",0,0,0,0,0,0,1
"ASV1912",0,0,1,0,0,0,1
"ASV1913",0,0,0,0,0,1,1
"ASV1914",0,0,0,0,0,0,1
"ASV1915",0,0,0,0,0,1,0
"ASV1916",0,0,0,0,0,1,1
"ASV1917",0,0,1,0,0,0,1
"ASV1918",0,0,0,0,0,0,1
"ASV192",0,0,1,0,0,0,1
"ASV1920",0,0,1,0,0,0,0
"ASV1921",1,0,0,0,0,0,0
"ASV1926",0,0,0,0,0,0,1
"ASV1927",0,0,0,0,0,0,1
"ASV1928",0,0,0,1,0,0,0
"ASV1929",0,1,0,0,0,0,0
"ASV1933",0,0,0,0,0,0,1
"ASV1934",0,0,1,0,0,0,1
"ASV1935",0,0,1,0,0,0,0
"ASV1936",0,0,0,0,0,0,1
"ASV1938",1,0,0,0,0,0,0
"ASV1940",1,0,0,0,1,1,0
"ASV1941",1,1,1,1,1,1,1
"ASV1943",1,1,1,0,1,0,1
"ASV1944",0,0,0,0,1,0,0
"ASV1946",1,1,1,1,1,1,1
"ASV1947",1,1,1,0,1,1,0
"ASV1948",1,1,1,1,1,1,1
"ASV1949",0,0,0,0,0,0,1
"ASV195",0,0,0,0,0,0,1
"ASV1951",0,0,0,0,0,0,1
"ASV1952",0,0,0,0,1,0,0
"ASV1953",1,1,1,1,1,1,1
"ASV1954",0,0,0,0,1,0,0
"ASV1956",0,0,0,0,1,0,0
"ASV1958",0,0,0,0,1,0,0
"ASV1959",0,1,0,0,0,0,0
"ASV1961",0,0,0,1,0,0,0
"ASV1964",0,0,0,0,0,1,0
"ASV1969",0,0,0,0,1,0,0
"ASV197",0,0,0,0,0,0,1
"ASV1970",0,0,0,0,1,0,0
"ASV1971",0,0,0,0,1,0,0
"ASV1972",0,0,0,1,0,0,0
"ASV1975",0,0,1,0,0,0,0
"ASV1976",0,0,0,0,1,0,0
"ASV1980",0,1,0,0,0,0,0
"ASV1981",0,0,0,0,1,0,0
"ASV1982",0,0,0,0,0,1,0
"ASV1983",0,0,0,0,1,0,0
"ASV1984",0,0,0,0,1,0,0
"ASV1988",0,0,0,0,1,0,0
"ASV1989",0,0,0,0,1,0,0
"ASV199",0,0,0,0,0,1,0
"ASV1990",0,0,0,0,0,1,0
"ASV1994",1,0,0,0,0,0,0
"ASV1995",1,0,0,0,0,0,0
"ASV1996",0,1,0,0,0,0,0
"ASV2",0,0,0,0,0,1,0
"ASV2003",0,1,0,0,0,0,0
"ASV2005",0,0,0,0,0,1,0
"ASV2006",0,0,0,0,0,1,0
"ASV2008",1,0,0,0,0,0,0
"ASV201",0,1,1,1,1,1,1
"ASV2011",0,0,0,0,0,0,1
"ASV2012",0,0,0,0,0,0,1
"ASV2013",0,0,0,0,0,0,1
"ASV2014",0,0,1,0,0,0,0
"ASV2015",0,0,0,1,0,0,0
"ASV2018",0,0,0,0,0,0,1
"ASV2019",0,0,1,0,0,0,0
"ASV2022",0,0,0,0,1,0,0
"ASV2023",1,0,0,0,0,0,0
"ASV2024",1,0,0,0,0,0,0
"ASV2025",0,0,1,0,0,0,0
"ASV2026",0,0,0,0,1,0,0
"ASV2027",0,0,0,1,0,0,0
"ASV2029",0,0,0,0,1,0,0
"ASV2030",0,0,1,0,0,0,0
"ASV2032",0,0,0,0,1,0,0
"ASV2034",1,0,0,0,0,0,0
"ASV2035",1,0,0,0,0,0,0
"ASV2036",0,0,0,0,0,1,0
"ASV204",1,0,0,1,0,0,1
"ASV2041",0,0,0,1,0,0,0
"ASV2043",0,0,1,0,0,0,0
"ASV2044",0,0,1,0,0,0,0
"ASV2046",0,0,0,0,0,0,1
"ASV2047",0,0,0,0,0,1,1
"ASV2048",0,0,0,0,0,0,1
"ASV2049",1,0,1,1,0,1,1
"ASV2050",0,0,0,0,0,0,1
"ASV2051",0,0,0,0,0,0,1
"ASV2052",0,0,1,0,0,0,0
"ASV2053",1,0,1,1,0,1,0
"ASV2054",1,1,1,1,1,1,1
"ASV2055",1,1,1,1,1,1,1
"ASV2056",0,0,0,0,1,0,0
"ASV2057",0,0,0,0,1,0,0
"ASV2058",1,1,0,1,1,1,0
"ASV2059",0,0,0,0,1,0,0
"ASV206",0,0,0,0,1,0,0
"ASV2060",1,1,0,1,0,1,1
"ASV2061",0,0,0,0,1,0,0
"ASV2062",0,0,0,0,1,0,0
"ASV2063",1,1,1,1,1,1,1
"ASV2064",0,1,0,1,1,1,0
"ASV2065",0,0,0,0,1,0,0
"ASV2067",0,0,0,0,1,0,0
"ASV2071",0,0,0,0,1,0,0
"ASV2072",1,1,1,1,1,1,1
"ASV2073",0,0,0,0,1,0,0
"ASV2075",0,0,0,0,1,0,0
"ASV208",1,1,1,1,1,1,1
"ASV209",0,0,1,0,0,0,0
"ASV21",0,0,1,0,0,0,0
"ASV210",0,0,0,0,1,0,0
"ASV212",0,0,0,0,0,1,0
"ASV213",0,0,0,0,0,1,1
"ASV215",1,1,1,0,1,1,1
"ASV218",0,1,0,0,0,0,0
"ASV221",0,0,0,0,0,0,1
"ASV222",0,1,1,0,0,0,1
"ASV224",0,0,0,0,0,0,1
"ASV226",0,0,1,0,0,0,1
"ASV228",0,0,0,0,0,0,1
"ASV232",1,1,1,1,1,1,1
"ASV233",1,1,0,0,0,0,0
"ASV234",1,0,0,0,0,0,1
"ASV236",1,1,1,1,0,1,1
"ASV237",0,1,0,0,0,0,0
"ASV238",0,0,0,0,1,0,0
"ASV239",0,0,0,0,0,0,1
"ASV24",1,0,0,0,0,0,0
"ASV241",1,1,1,0,1,1,1
"ASV242",0,0,0,0,1,0,0
"ASV244",0,0,0,0,0,0,1
"ASV246",0,0,0,0,0,1,1
"ASV247",1,0,0,0,0,0,1
"ASV251",0,0,0,0,0,0,1
